x,y,score,orientation,width,height,template_id,band_id,cpin
7417,5425,0.9201474785804749,H,40,30,1,-1,
4389,4925,0.9200759530067444,V,30,40,3,-1,
7045,5062,0.9198169708251953,H,40,30,0,-1,
7594,3964,0.9196279048919678,V,30,40,3,-1,
7730,4313,0.9196104407310486,H,40,30,0,-1,
3876,3557,0.9192671775817871,V,30,40,3,-1,
5379,5680,0.9191815853118896,H,40,30,5,-1,
6266,6259,0.9187135100364685,H,40,30,4,-1,
7594,3473,0.9183109402656555,V,30,40,3,-1,
8066,5633,0.9180863499641418,V,30,40,3,-1,
5464,6559,0.9180850982666016,H,40,30,0,-1,
6020,3479,0.9179251790046692,H,40,30,0,-1,
6963,2856,0.9179040193557739,H,40,30,5,-1,
7161,4013,0.917750358581543,H,40,30,1,-1,
7295,6467,0.917722761631012,V,30,40,3,-1,
8532,4685,0.9176559448242188,V,30,40,0,-1,
6266,5018,0.9174351692199707,H,40,30,4,-1,
7601,5769,0.917393147945404,H,40,30,0,-1,
7047,4227,0.9173903465270996,H,40,30,0,-1,
5671,2850,0.9173521995544434,V,30,40,3,-1,
7730,2858,0.917273759841919,H,40,30,0,-1,
4813,5060,0.917183518409729,H,40,30,4,-1,
7252,2851,0.9169173836708069,V,30,40,3,-1,
4054,3520,0.9168860912322998,H,40,30,0,-1,
7005,4270,0.9167061448097229,H,40,30,0,-1,
6833,4763,0.9166313409805298,H,40,30,0,-1,
5329,4306,0.9166165590286255,V,30,40,3,-1,
7889,3885,0.9165711998939514,H,40,30,4,-1,
7675,4976,0.9163458347320557,H,40,30,4,-1,
6137,3178,0.9163396954536438,H,40,30,1,-1,
3918,5732,0.9161994457244873,V,30,40,0,-1,
7894,4064,0.9161555171012878,V,30,40,0,-1,
4518,5589,0.9161076545715332,V,30,40,3,-1,
5111,5382,0.916037380695343,H,40,30,1,-1,
4384,5060,0.9160163998603821,H,40,30,1,-1,
7460,3884,0.9160042405128479,H,40,30,1,-1,
3712,3969,0.9159449338912964,H,40,30,0,-1,
5794,6645,0.9159060716629028,H,40,30,4,-1,
4732,4063,0.9157466888427734,V,30,40,0,-1,
5507,3179,0.9156910181045532,H,40,30,0,-1,
5506,6645,0.9154471755027771,H,40,30,0,-1,
7687,6646,0.9153876900672913,H,40,30,0,-1,
5892,2857,0.9149412512779236,H,40,30,0,-1,
4390,3556,0.9149398803710938,V,30,40,3,-1,
6742,5504,0.9149263501167297,V,30,40,3,-1,
5807,5059,0.9148843884468079,H,40,30,5,-1,
6870,5761,0.9147769808769226,V,30,40,3,-1,
3364,5464,0.9147696495056152,V,30,40,0,-1,
8061,5769,0.9147421717643738,H,40,30,4,-1,
8618,5141,0.9147281050682068,V,30,40,0,-1,
5373,3471,0.9145921468734741,V,30,40,3,-1,
3790,6352,0.9145278930664062,V,30,40,0,-1,
5209,5682,0.9145102500915527,H,40,30,0,-1,
5537,6965,0.9143999814987183,H,40,30,1,-1,
7895,4221,0.9143553376197815,V,30,40,3,-1,
7894,3273,0.9142764806747437,V,30,40,0,-1,
8703,5969,0.9141917824745178,V,30,40,0,-1,
5451,6216,0.9139308333396912,H,40,30,1,-1,
8108,5012,0.9139305353164673,V,30,40,3,-1,
6608,6559,0.9139245748519897,H,40,30,1,-1,
8108,4064,0.9138638377189636,V,30,40,0,-1,
4733,2807,0.9137433171272278,V,30,40,3,-1,
7644,4313,0.91364985704422,H,40,30,0,-1,
8618,5434,0.9133882522583008,V,30,40,0,-1,
6051,2857,0.9133832454681396,H,40,30,4,-1,
6736,5596,0.9133076667785645,H,40,30,1,-1,
5081,3478,0.913174569606781,H,40,30,0,-1,
7846,3927,0.9127373695373535,H,40,30,1,-1,
5074,4926,0.9126541018486023,V,30,40,3,-1,
3961,6509,0.912578284740448,V,30,40,3,-1,
5112,3178,0.9125047326087952,H,40,30,1,-1,
6993,2687,0.9124014377593994,H,40,30,4,-1,
6137,4270,0.9123538732528687,H,40,30,4,-1,
7945,2856,0.9122127890586853,H,40,30,5,-1,
4561,6138,0.9121246933937073,V,30,40,0,-1,
6485,3472,0.912113606929779,V,30,40,3,-1,
5537,5725,0.9121056795120239,H,40,30,1,-1,
4255,5595,0.9120215773582458,H,40,30,1,-1,
4989,6552,0.9120035767555237,V,30,40,3,-1,
7987,2644,0.9119409322738647,H,40,30,0,-1,
4685,6645,0.9118210673332214,H,40,30,4,-1,
7332,3884,0.9117876291275024,H,40,30,1,-1,
7294,6610,0.9116451740264893,V,30,40,0,-1,
3797,4719,0.9116412997245789,H,40,30,0,-1,
4903,4726,0.9115820527076721,V,30,40,0,-1,
4225,5017,0.9115727543830872,H,40,30,0,-1,
4861,4262,0.9114611744880676,V,30,40,3,-1,
3705,4305,0.9114523530006409,V,30,40,3,-1,
5928,5054,0.9114159345626831,V,30,40,3,-1,
6828,4306,0.9111936092376709,V,30,40,3,-1,
6179,5768,0.9111291170120239,H,40,30,1,-1,
5329,4106,0.911121129989624,V,30,40,0,-1,
4518,3556,0.9109985828399658,V,30,40,3,-1,
8575,3016,0.9109424352645874,V,30,40,0,-1,
5923,3350,0.9108452200889587,H,40,30,4,-1,
4984,6088,0.9106988906860352,H,40,30,4,-1,
8447,5141,0.9106048345565796,V,30,40,0,-1,
5282,5767,0.9104925394058228,H,40,30,4,-1,
8103,6088,0.910492479801178,H,40,30,1,-1,
4355,5016,0.9104088544845581,H,40,30,5,-1,
3704,4063,0.9103250503540039,V,30,40,0,-1,
5671,4306,0.9102669358253479,V,30,40,3,-1,
7259,6517,0.910244345664978,H,40,30,0,-1,
4398,6643,0.909803569316864,H,40,30,5,-1,
4097,3478,0.9097037315368652,H,40,30,0,-1,
5457,4106,0.9096827507019043,V,30,40,0,-1,
8575,5969,0.9096716046333313,V,30,40,0,-1,
7302,5062,0.9095710515975952,H,40,30,0,-1,
4732,6466,0.9095298051834106,V,30,40,3,-1,
4342,4312,0.9093701839447021,H,40,30,4,-1,
4011,3562,0.9091612696647644,H,40,30,0,-1,
8704,6803,0.9090647101402283,V,30,40,0,-1,
4953,5767,0.9090412855148315,H,40,30,0,-1,
7804,4313,0.9089163541793823,H,40,30,4,-1,
4642,6602,0.908819317817688,H,40,30,4,-1,
5117,5026,0.9087381958961487,V,30,40,0,-1,
7937,5055,0.9085529446601868,V,30,40,3,-1,
4471,6559,0.9084827899932861,H,40,30,4,-1,
7337,3230,0.9083362221717834,V,30,40,0,-1,
3840,5639,0.908141016960144,H,40,30,0,-1,
5678,3564,0.9079009294509888,H,40,30,0,-1,
6107,4973,0.9077706336975098,H,40,30,5,-1,
6662,4677,0.9077164530754089,H,40,30,0,-1,
4175,6638,0.907706618309021,V,30,40,3,-1,
3754,2857,0.9075239896774292,H,40,30,0,-1,
7675,3179,0.9071519374847412,H,40,30,4,-1,
7040,3272,0.9071366190910339,V,30,40,0,-1,
7980,3273,0.9071277976036072,V,30,40,0,-1,
7216,3480,0.9069792628288269,H,40,30,0,-1,
9427,5814,0.9069622159004211,H,40,30,8,-1,IV3_N
5240,3564,0.9067070484161377,H,40,30,4,-1,
5117,4106,0.9064207673072815,V,30,40,0,-1,
7039,3530,0.9060974717140198,V,30,40,0,-1,
5032,6552,0.9060968160629272,V,30,40,3,-1,
4696,5382,0.905913233757019,H,40,30,0,-1,
4518,2807,0.9058801531791687,V,30,40,3,-1,
6480,4013,0.9057961106300354,H,40,30,4,-1,
5923,2814,0.9053865075111389,H,40,30,4,-1,
3450,3892,0.9053779244422913,V,30,40,0,-1,
6394,2857,0.9051781892776489,H,40,30,4,-1,
3449,7240,0.9051427245140076,V,30,40,0,-1,
8030,3563,0.905129611492157,H,40,30,6,-1,
3747,5053,0.9048968553543091,V,30,40,3,-1,
7890,2815,0.9048669338226318,H,40,30,4,-1,
9684,3030,0.9048182964324951,H,40,30,8,-1,BRFVH
8109,2851,0.9047327637672424,V,30,40,3,-1,
4861,4020,0.9046576023101807,V,30,40,0,-1,
7932,6603,0.9046213030815125,H,40,30,4,-1,
7161,6131,0.9045937061309814,H,40,30,1,-1,
8066,6353,0.9045913815498352,V,30,40,0,-1,
7902,3179,0.9045711159706116,H,40,30,3,-1,
6664,6643,0.9044984579086304,H,40,30,5,-1,
5069,5060,0.9044745564460754,H,40,30,1,-1,
4518,6352,0.9042543768882751,V,30,40,0,-1,
8703,5141,0.9041980504989624,V,30,40,0,-1,
6314,4306,0.9041036367416382,V,30,40,3,-1,
7680,4727,0.9037874937057495,V,30,40,0,-1,
6309,5061,0.9037021398544312,H,40,30,4,-1,
4011,4312,0.9036757946014404,H,40,30,0,-1,
7466,4264,0.9033995866775513,V,30,40,3,-1,
7932,4634,0.9033427238464355,H,40,30,1,-1,
8662,6803,0.9032951593399048,V,30,40,5,-1,
7681,4192,0.9032426476478577,V,30,40,0,-1,
6779,3564,0.903167724609375,H,40,30,4,-1,
8618,5969,0.9031177163124084,V,30,40,0,-1,
7174,5060,0.9031139612197876,H,40,30,5,-1,
5031,6395,0.9030492901802063,V,30,40,0,-1,
5155,2814,0.9030469059944153,H,40,30,4,-1,
6955,3315,0.9028767943382263,V,30,40,0,-1,
8447,5434,0.9027223587036133,V,30,40,0,-1,
7333,4228,0.902449905872345,H,40,30,4,-1,
5039,2814,0.9023016095161438,H,40,30,0,-1,
9684,3753,0.9022229313850403,H,40,30,8,-1,BRD
6022,4268,0.9022154211997986,H,40,30,5,-1,
6736,4719,0.9021840691566467,H,40,30,4,-1,
4482,5060,0.9021812677383423,H,40,30,0,-1,
4047,6638,0.902014434337616,V,30,40,3,-1,
4175,5010,0.9015380144119263,V,30,40,3,-1,
4813,4269,0.9014121890068054,H,40,30,4,-1,
6020,5061,0.9013386368751526,H,40,30,0,-1,
6236,5766,0.9012836217880249,H,40,30,5,-1,
7590,3222,0.9012154340744019,H,40,30,4,-1,
8146,5382,0.9010822176933289,H,40,30,1,-1,
4218,6138,0.9010012745857239,V,30,40,0,-1,
4856,4975,0.9009984731674194,H,40,30,4,-1,
6407,5723,0.9009804725646973,H,40,30,5,-1,
5799,2765,0.9008728861808777,V,30,40,3,-1,
4941,3220,0.9008057117462158,H,40,30,1,-1,
8576,7017,0.9007739424705505,V,30,40,5,-1,
6656,4969,0.9007580280303955,V,30,40,3,-1,
6961,4634,0.9006021618843079,H,40,30,0,-1,
3797,5767,0.9004138708114624,H,40,30,0,-1,
5457,5012,0.9002435207366943,V,30,40,3,-1,
3785,6965,0.9000766277313232,H,40,30,1,-1,
3961,4063,0.8997283577919006,V,30,40,0,-1,
4861,4640,0.8996000289916992,V,30,40,1,-1,
8365,3273,0.8995931148529053,V,30,40,0,-1,
7774,5724,0.8994072079658508,H,40,30,5,-1,
4047,5460,0.89939945936203,V,30,40,3,-1,
6827,6638,0.8991588354110718,V,30,40,3,-1,
4041,6130,0.8991395831108093,H,40,30,1,-1,
8323,6639,0.8989058136940002,V,30,40,3,-1,
6608,5682,0.8988296389579773,H,40,30,4,-1,
5579,5425,0.8987401127815247,H,40,30,1,-1,
4475,5718,0.8986915349960327,V,30,40,3,-1,
5287,5012,0.8986245393753052,V,30,40,3,-1,
9684,4610,0.8985825777053833,H,40,30,8,-1,BMREQ
5198,3927,0.8984169960021973,H,40,30,4,-1,
5081,5725,0.8984050154685974,H,40,30,0,-1,
6277,5725,0.898399293422699,H,40,30,0,-1,
4813,3563,0.8982297778129578,H,40,30,4,-1,
4740,3518,0.8979688286781311,H,40,30,5,-1,
4867,3563,0.8978387117385864,H,40,30,0,-1,
3407,7240,0.8978175520896912,V,30,40,0,-1,
4097,4226,0.8977892398834229,H,40,30,0,-1,
4054,5060,0.8977676033973694,H,40,30,6,-1,
7987,5061,0.8976873159408569,H,40,30,6,-1,
4655,3561,0.8976421356201172,H,40,30,5,-1,
5414,5012,0.8975114822387695,V,30,40,3,-1,
3961,4219,0.8974440097808838,V,30,40,3,-1,
6266,3520,0.8973474502563477,H,40,30,4,-1,
5628,4812,0.8973211050033569,V,30,40,0,-1,
8490,5434,0.8972887992858887,V,30,40,0,-1,
6833,5426,0.8972516059875488,H,40,30,0,-1,
5966,4227,0.8971909880638123,H,40,30,4,-1,
5198,5061,0.8969612717628479,H,40,30,4,-1,
5679,5059,0.8967251181602478,H,40,30,5,-1,
5125,3882,0.8966843485832214,H,40,30,5,-1,
8323,4264,0.8966684937477112,V,30,40,3,-1,
6536,4011,0.8965750336647034,H,40,30,5,-1,
6876,6645,0.8962720036506653,H,40,30,0,-1,
5928,4642,0.8962649703025818,V,30,40,0,-1,
3747,5389,0.8961464166641235,V,30,40,0,-1,
6656,2808,0.8961057662963867,V,30,40,3,-1,
8146,3480,0.895717442035675,H,40,30,4,-1,
6485,3358,0.8956674933433533,V,30,40,0,-1,
5542,4306,0.8956255316734314,V,30,40,3,-1,
6094,3883,0.8955166339874268,H,40,30,1,-1,
4342,2857,0.8954485058784485,H,40,30,4,-1,
5414,6353,0.8952516913414001,V,30,40,0,-1,
4610,5768,0.8951739072799683,H,40,30,0,-1,
5536,3564,0.8949207067489624,H,40,30,1,-1,
7567,3068,0.8945940136909485,H,40,30,1,-1,
4817,4641,0.8944553732872009,V,30,40,0,-1,
6313,3401,0.8942756652832031,V,30,40,0,-1,
3882,6644,0.894216001033783,H,40,30,0,-1,
6918,4720,0.8942155241966248,H,40,30,0,-1,
7474,5017,0.8942062258720398,H,40,30,5,-1,
4482,6259,0.8939247727394104,H,40,30,0,-1,
4255,4633,0.8938493132591248,H,40,30,1,-1,
6492,5595,0.8934996128082275,H,40,30,5,-1,
5452,3884,0.8934010863304138,H,40,30,1,-1,
8108,5434,0.8932352662086487,V,30,40,0,-1,
5112,5682,0.8931841254234314,H,40,30,4,-1,
3884,2855,0.8931142687797546,H,40,30,5,-1,
5409,4677,0.8930670619010925,H,40,30,4,-1,
6992,5062,0.8930526971817017,H,40,30,4,-1,
6609,4313,0.8928787708282471,H,40,30,4,-1,
8489,5969,0.892789363861084,V,30,40,0,-1,
8625,6175,0.8926010131835938,H,40,30,0,-1,
5379,3884,0.8924996852874756,H,40,30,0,-1,
7175,5767,0.8924075365066528,H,40,30,5,-1,
8061,2858,0.8919252157211304,H,40,30,4,-1,
6485,6595,0.8915936946868896,V,30,40,3,-1,
6864,5468,0.8914316296577454,H,40,30,1,-1,
4568,4975,0.8912310600280762,H,40,30,0,-1,
4954,3561,0.8911600112915039,H,40,30,5,-1,
5372,4306,0.8909962773323059,V,30,40,3,-1,
4171,2814,0.8909590840339661,H,40,30,4,-1,
4177,5553,0.890913188457489,H,40,30,4,-1,
3955,6644,0.8908342719078064,H,40,30,1,-1,
5464,3927,0.8904615044593811,H,40,30,0,-1,
6694,2857,0.8904032111167908,H,40,30,4,-1,
5325,4633,0.8902284502983093,H,40,30,4,-1,
7988,4312,0.8899447321891785,H,40,30,5,-1,
6357,6595,0.8898850083351135,V,30,40,3,-1,
2423,2454,0.8894967436790466,V,30,40,7,-1,BA13
6485,2765,0.8894363045692444,V,30,40,3,-1,
7816,6601,0.8894128203392029,H,40,30,5,-1,
6870,2851,0.8892130851745605,V,30,40,3,-1,
7761,6560,0.8891799449920654,H,40,30,4,-1,
6570,4684,0.8889552354812622,V,30,40,0,-1,
4518,4262,0.8889182209968567,V,30,40,3,-1,
4775,3934,0.888434648513794,V,30,40,0,-1,
4128,4675,0.8883048295974731,H,40,30,4,-1,
8660,5969,0.8882325887680054,V,30,40,0,-1,
5070,4312,0.888224720954895,H,40,30,4,-1,
6321,5681,0.8880426287651062,H,40,30,5,-1,
5329,5012,0.887957751750946,V,30,40,3,-1,
6528,4263,0.887793779373169,V,30,40,3,-1,
3626,6644,0.887666642665863,H,40,30,0,-1,
7247,3523,0.887311577796936,H,40,30,4,-1,
8318,5062,0.8869984745979309,H,40,30,4,-1,
5372,4106,0.8869165182113647,V,30,40,0,-1,
3704,3314,0.886869490146637,V,30,40,0,-1,
7216,4013,0.8866329193115234,H,40,30,0,-1,
4861,5475,0.8862866163253784,V,30,40,0,-1,
7040,3429,0.8862341642379761,V,30,40,3,-1,
5210,2855,0.8861832022666931,H,40,30,5,-1,
8575,6311,0.8861513137817383,V,30,40,0,-1,
7632,5061,0.8858357071876526,H,40,30,4,-1,
7817,2770,0.885697066783905,H,40,30,5,-1,
4860,5732,0.8856450915336609,V,30,40,0,-1,
5038,6259,0.8856054544448853,H,40,30,0,-1,
7504,3564,0.8854572176933289,H,40,30,4,-1,
6570,3358,0.8852421045303345,V,30,40,0,-1,
8576,3348,0.8851566910743713,V,30,40,6,-1,
4769,4633,0.8850847482681274,H,40,30,1,-1,
6193,2856,0.884941816329956,H,40,30,5,-1,
5507,5768,0.8847290277481079,H,40,30,0,-1,
4689,5518,0.8843826651573181,V,30,40,0,-1,
8194,3935,0.8843622803688049,V,30,40,0,-1,
8108,6596,0.8840124011039734,V,30,40,3,-1,
4384,3263,0.8838191628456116,H,40,30,1,-1,
4132,4811,0.8835864067077637,V,30,40,0,-1,
4384,4226,0.8831148743629456,H,40,30,1,-1,
8490,4685,0.8829362392425537,V,30,40,0,-1,
7851,4941,0.8827733993530273,V,30,40,0,-1,
4641,6473,0.8826911449432373,H,40,30,1,-1,
7975,6646,0.8826899528503418,H,40,30,4,-1,
5499,2850,0.8824461102485657,V,30,40,3,-1,
3444,4739,0.8818482756614685,H,40,30,1,-1,
4055,4267,0.8816356658935547,H,40,30,5,-1,
4861,2807,0.8814091682434082,V,30,40,3,-1,
4989,5011,0.8812701106071472,V,30,40,3,-1,
7974,6217,0.8810234069824219,H,40,30,1,-1,
5709,2772,0.8807008862495422,H,40,30,4,-1,
4226,2855,0.8796894550323486,H,40,30,5,-1,
4732,6309,0.8796482086181641,V,30,40,3,-1,
3493,5418,0.8794769048690796,V,30,40,6,-1,
7595,4192,0.87919682264328,V,30,40,0,-1,
8237,5762,0.8790479898452759,V,30,40,3,-1,
7644,6089,0.8788551688194275,H,40,30,0,-1,
5288,6638,0.8781411051750183,V,30,40,3,-1,
8877,2451,0.8778071403503418,V,30,40,7,-1,RAS1_N
4389,4725,0.8775491714477539,V,30,40,0,-1,
4727,5467,0.8773548603057861,H,40,30,1,-1,
5197,3884,0.8772019147872925,H,40,30,1,-1,
6480,3221,0.8771460056304932,H,40,30,4,-1,
3790,5053,0.8770617842674255,V,30,40,3,-1,
8619,6803,0.8769723773002625,V,30,40,0,-1,
5970,3977,0.876602828502655,V,30,40,0,-1,
3450,3314,0.8764611482620239,V,30,40,0,-1,
7516,5059,0.8763409852981567,H,40,30,5,-1,
5549,3221,0.8761532306671143,H,40,30,0,-1,
4834,3067,0.8757787942886353,H,40,30,1,-1,
4139,3179,0.8756506443023682,H,40,30,0,-1,
7901,6132,0.8754690885543823,H,40,30,0,-1,
9684,2496,0.8752692341804504,H,40,30,8,-1,
7594,3359,0.8752110004425049,V,30,40,0,-1,
5160,6638,0.8751357793807983,V,30,40,3,-1,
6663,6560,0.8750900030136108,H,40,30,0,-1,
7295,5676,0.8749202489852905,V,30,40,3,-1,
3968,3221,0.874759316444397,H,40,30,0,-1,
5836,3563,0.874666154384613,H,40,30,1,-1,
4133,5010,0.8745239973068237,V,30,40,3,-1,
3875,5389,0.8742876648902893,V,30,40,0,-1,
6997,6311,0.874269962310791,V,30,40,0,-1,
7894,4727,0.8742548823356628,V,30,40,0,-1,
4004,5475,0.874149739742279,V,30,40,0,-1,
6534,2858,0.8736104369163513,H,40,30,0,-1,
7937,4064,0.8735536336898804,V,30,40,0,-1,
4427,5382,0.8730775117874146,H,40,30,4,-1,
5837,2643,0.873076856136322,H,40,30,4,-1,
5928,3977,0.8730592727661133,V,30,40,0,-1,
7168,2449,0.8729668259620667,V,30,40,5,-1,CAS2_N
6056,4177,0.872827410697937,V,30,40,3,-1,
5458,2449,0.8727572560310364,V,30,40,7,-1,RA7
5415,4855,0.8726763129234314,V,30,40,1,-1,
8195,5632,0.8723663687705994,V,30,40,8,-1,
6485,4106,0.8723516464233398,V,30,40,0,-1,
8045,6687,0.8722811937332153,H,40,30,5,-1,
8619,5336,0.8722782135009766,V,30,40,8,-1,
4526,6600,0.8717533349990845,H,40,30,5,-1,
4133,2450,0.8710768818855286,V,30,40,5,-1,BA15
5892,4313,0.8710217475891113,H,40,30,0,-1,
7174,4311,0.8709698915481567,H,40,30,5,-1,
7132,4269,0.8708617091178894,H,40,30,5,-1,
3449,7079,0.8705543279647827,V,30,40,0,-1,
3918,4811,0.870186984539032,V,30,40,0,-1,
6180,4313,0.8701454401016235,H,40,30,4,-1,
3494,3888,0.8701128363609314,V,30,40,5,-1,
3849,3772,0.8700245022773743,H,40,30,1,-1,
6437,3563,0.869936466217041,H,40,30,4,-1,
7474,6601,0.8692402243614197,H,40,30,5,-1,
8061,3437,0.8688706159591675,H,40,30,4,-1,
5330,4855,0.8683416843414307,V,30,40,0,-1,
5039,3970,0.868241012096405,H,40,30,0,-1,
6527,4106,0.8678762912750244,V,30,40,0,-1,
7047,4142,0.8678520917892456,H,40,30,0,-1,
6450,5766,0.8669611811637878,H,40,30,5,-1,
6784,5519,0.8669554591178894,V,30,40,0,-1,
7430,3180,0.8665943741798401,H,40,30,0,-1,
6442,5011,0.8665314316749573,V,30,40,3,-1,
6656,4855,0.8665204048156738,V,30,40,0,-1,
5287,4855,0.8657318353652954,V,30,40,0,-1,
6250,4354,0.8657229542732239,H,40,30,5,-1,
5203,4106,0.8657132387161255,V,30,40,0,-1,
4342,3563,0.865530252456665,H,40,30,4,-1,
