id,col,row
ADDRBUFEN_N,0,0
AUXDECODE1_N,0,1
AUXROMCS_N,0,2
BA13,0,3
BA14,0,4
BA15,0,5
BA6,0,6
BA7,0,7
BD0,0,8
BD1,0,9
BD2,0,10
BD3,0,11
BM1_N,0,12
BMREQ_N,0,13
BOOTROMCS_N,0,14
BRD_N,0,15
BRFSH_N,0,16
BUSAK_N,0,17
BUSRQ_N,0,18
B_PHI,0,19
CAS1_N,0,20
CAS2_N,0,21
CPRST_N,0,22
DMA_N,0,23
EN245_N,0,24
IORQ_N,0,25
IS3_N,0,26
MUX,0,27
NETRST_N,0,28
N_BWR,0,29
N_CVRST,0,30
OS3_N,0,31
PBRST_N,0,32
RA7,0,33
RAS_N,0,34
RST_N,0,35
SPINDIS_N,0,36
WAIT_N,0,37
io1,0,38
io10,0,39
io11,0,40
io12,0,41
io13,0,42
io14,0,43
io15,0,44
io16,0,45
io17,0,46
io18,0,47
io19,0,48
io2,0,49
io20,0,50
io21,0,51
io22,0,52
io23,0,53
io24,0,54
io25,0,55
io26,0,56
io27,0,57
io28,0,58
io29,0,59
io3,0,60
io30,0,61
io31,0,62
io32,0,63
io33,0,64
io34,0,65
io35,0,66
io36,0,67
io37,0,68
io38,0,69
io39,0,70
io4,0,71
io5,0,72
io6,0,73
io7,0,74
io8,0,75
io9,0,76
u1,0,77
u10,0,78
u11,0,79
u12,0,80
u13,0,81
u14,0,82
u17,0,83
u18,0,84
u19,0,85
u2,0,86
u20,0,87
u21,0,88
u22,0,89
u23,0,90
u24,0,91
u25,0,92
u26,0,93
u27,0,94
u28,0,95
u29,0,96
u3,0,97
u30,0,98
u31,0,99
u32,0,100
u33,0,101
u34,0,102
u35,0,103
u37,0,104
u38,0,105
u39,0,106
u4,0,107
u40,0,108
u41,0,109
u42,0,110
u43,0,111
u44,0,112
u45,0,113
u46,0,114
u47,0,115
u48,0,116
u49,0,117
u5,0,118
u50,0,119
u52,0,120
u53,0,121
u54,0,122
u55,0,123
u56,0,124
u57,0,125
u58,0,126
u59,0,127
u6,0,128
u60,0,129
u61,0,130
u62,0,131
u63,0,132
u65,0,133
u66,0,134
u67,0,135
u69,0,136
u7,0,137
u70,0,138
u71,0,139
u72,0,140
u73,0,141
u74,0,142
u75,0,143
u76,0,144
u77,0,145
u78,0,146
u79,0,147
u8,0,148
u80,0,149
u81,0,150
u82,0,151
u83,0,152
u84,0,153
u85,0,154
u86,0,155
u87,0,156
u88,0,157
u89,0,158
u9,0,159
u90,0,160
u91,0,161
u92,0,162
u93,0,163
u94,0,164
